Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,12
55,16
56,35
57,36
58,31
59,34
60,41
61,51
62,44
63,41
64,33
65,38
66,33
67,38
68,32
69,35
70,39
71,42
72,27
73,32
74,28
75,45
76,44
77,34
78,33
79,39
80,28
81,35
82,34
83,34
84,39
85,32
86,33
87,27
88,28
89,32
90,33
91,24
92,35
93,21
94,19
95,36
96,23
97,35
98,37
99,32
100,36
101,32
102,27
103,46
104,24
105,35
106,21
107,26
108,34
109,30
110,22
111,25
112,29
113,34
114,35
115,24
116,31
117,26
118,29
119,31
120,20
121,23
122,17
123,30
124,27
125,24
126,27
127,19
128,24
129,16
130,19
131,23
132,28
133,25
134,20
135,25
136,19
137,23
138,26
139,21
140,22
141,20
142,21
143,28
144,27
145,24
146,17
147,15
148,24
149,17
150,15
151,24
152,14
153,21
154,21
155,15
156,29
157,15
158,22
159,18
160,19
161,18
162,19
163,28
164,22
165,21
166,22
167,18
168,32
169,21
170,16
171,23
172,23
173,13
174,23
175,19
176,20
177,17
178,12
179,18
180,17
181,28
182,15
183,18
184,27
185,27
186,20
187,20
188,20
189,30
190,17
191,25
192,20
193,18
194,18
195,29
196,20
197,18
198,13
199,9
200,13
201,17
202,15
203,18
204,25
205,15
206,15
207,14
208,13
209,21
210,24
211,25
212,15
213,13
214,20
215,13
216,21
217,26
218,27
219,31
220,16
221,13
222,14
223,25
224,16
225,19
226,15
227,17
228,20
229,14
230,20
231,19
232,19
233,22
234,15
235,24
236,16
237,24
238,16
239,18
240,20
241,25
242,18
243,12
244,17
245,12
246,18
247,14
248,9
249,16
250,13
251,15
252,19
253,18
254,21
255,17
256,10
257,15
258,10
259,16
260,17
261,8
262,17
263,15
264,16
265,14
266,13
267,17
268,17
269,16
270,22
271,19
272,17
273,14
274,11
275,20
276,14
277,24
278,21
279,16
280,15
281,20
282,16
283,13
284,16
285,11
286,18
287,21
288,19
289,11
290,17
291,8
292,17
293,16
294,14
295,16
296,14
297,23
298,11
299,21
300,12
301,16
302,14
303,10
304,13
305,15
306,14
307,12
308,14
309,8
310,22
311,12
312,12
313,19
314,11
315,19
316,16
317,19
318,12
319,21
320,21
321,15
322,12
323,15
324,14
325,16
326,11
327,14
328,23
329,19
330,10
331,14
332,13
333,13
334,12
335,19
336,15
337,12
338,15
339,8
340,12
341,17
342,9
343,15
344,23
345,8
346,11
347,18
348,10
349,13
350,17
351,16
352,17
353,17
354,12
355,20
356,18
357,18
358,16
359,14
360,14
361,19
362,8
363,10
364,19
365,14
366,13
367,14
368,14
369,14
370,7
371,21
372,20
373,18
374,13
375,17
376,16
377,19
378,15
379,10
380,11
381,12
382,11
383,11
384,19
385,16
386,15
387,12
388,17
389,13
390,11
391,14
392,17
393,18
394,19
395,13
396,22
397,14
398,19
399,9
400,14
401,13
402,8
403,11
404,17
405,18
406,18
407,11
408,15
409,19
410,12
411,13
412,12
413,10
414,19
415,15
416,19
417,8
418,7
419,16
420,9
421,13
422,10
423,13
424,13
425,18
426,16
427,7
428,14
429,13
430,12
431,6
432,12
433,18
434,12
435,10
436,13
437,19
438,10
439,11
440,12
441,14
442,11
443,13
444,20
445,12
446,18
447,16
448,14
449,14
450,14
451,15
452,14
453,15
454,9
455,17
456,14
457,15
458,13
459,10
460,10
461,16
462,13
463,15
464,12
465,14
466,9
467,13
468,12
469,19
470,13
471,13
472,10
473,8
474,13
475,11
476,15
477,10
478,11
479,9
480,14
481,18
482,16
483,10
484,12
485,14
486,15
487,13
488,20
489,15
490,14
491,17
492,10
493,8
494,9
495,15
496,12
497,16
498,11
499,13
500,21
501,14
502,14
503,6
504,14
505,11
506,12
507,16
508,15
509,15
510,14
511,14
512,11
513,14
514,14
515,14
516,21
517,14
518,15
519,12
520,13
521,10
522,15
523,11
524,20
525,14
526,15
527,17
528,15
529,12
530,12
531,12
