Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,2
53,6
54,12
55,16
56,41
57,47
58,64
59,53
60,78
61,61
62,52
63,63
64,56
65,58
66,50
67,57
68,55
69,55
70,43
71,57
72,38
73,52
74,55
75,41
76,56
77,50
78,52
79,50
80,57
81,38
82,44
83,34
84,51
85,46
86,39
87,33
88,34
89,36
90,34
91,35
92,44
93,36
94,33
95,29
96,41
97,39
98,28
99,28
100,38
101,26
102,36
103,42
104,42
105,38
106,29
107,35
108,36
109,28
110,28
111,35
112,36
113,31
114,30
115,47
116,23
117,32
118,29
119,28
120,22
121,35
122,30
123,38
124,34
125,24
126,27
127,24
128,17
129,32
130,28
131,33
132,23
133,34
134,46
135,43
136,32
137,26
138,30
139,24
140,22
141,23
142,24
143,27
144,28
145,17
146,29
147,25
148,31
149,30
150,23
151,31
152,18
153,20
154,22
155,22
156,21
157,21
158,22
159,19
160,17
161,22
162,22
163,14
164,29
165,27
166,19
167,23
168,20
169,26
170,29
171,19
172,31
173,33
174,25
175,25
176,30
177,18
178,29
179,19
180,20
181,29
182,26
183,25
184,20
185,24
186,11
187,23
188,22
189,22
190,14
191,19
192,27
193,19
194,20
195,25
196,18
197,15
198,20
199,30
200,15
201,24
202,27
203,16
204,22
205,21
206,14
207,26
208,11
209,19
210,19
211,17
212,23
213,22
214,22
215,23
216,27
217,15
218,17
219,17
220,25
221,19
222,17
223,10
224,24
225,20
226,18
227,32
228,23
229,23
230,23
231,18
232,18
233,12
234,29
235,19
236,23
237,22
238,20
239,10
240,24
241,18
242,20
243,17
244,18
245,21
246,16
247,22
248,10
249,24
250,15
251,19
252,19
253,22
254,23
255,18
256,15
257,17
258,16
259,22
260,16
261,19
262,16
263,23
264,19
265,13
266,18
267,23
268,15
269,14
270,14
271,15
272,17
273,20
274,18
275,18
276,11
277,20
278,24
279,13
280,16
281,20
282,14
283,17
284,25
285,25
286,17
287,18
288,23
289,17
290,26
291,20
292,20
293,14
294,22
295,13
296,19
297,24
298,19
299,27
300,15
301,19
302,16
303,20
304,17
305,20
306,19
307,16
308,19
309,27
310,14
311,25
312,14
313,19
314,25
315,15
316,21
317,13
318,17
319,11
320,19
321,20
322,20
323,20
324,10
325,15
326,9
327,20
328,13
329,19
330,15
331,29
332,15
333,18
334,14
335,18
336,22
337,26
338,20
339,21
340,11
341,14
342,19
343,16
344,15
345,15
346,16
347,20
348,16
349,18
350,14
351,16
352,14
353,20
354,15
355,24
356,23
357,16
358,11
359,13
360,12
361,26
362,20
363,24
364,16
365,12
366,18
367,17
368,15
369,20
370,17
371,20
372,13
373,15
374,21
375,23
376,15
377,10
378,14
379,18
380,18
381,17
382,22
383,19
384,24
385,15
386,24
387,35
388,25
389,27
390,29
391,39
392,34
393,33
394,42
395,44
396,37
397,42
398,30
399,44
400,29
401,17
402,28
403,21
404,19
405,18
406,12
407,20
408,17
409,13
410,13
411,15
412,12
413,8
414,13
415,13
416,11
417,20
418,14
419,16
420,21
421,13
422,16
423,7
424,12
425,21
426,17
427,18
428,17
429,14
430,14
431,11
432,12
433,12
434,14
435,16
436,16
437,20
438,15
439,19
440,27
441,16
442,29
443,25
444,34
445,27
446,23
447,37
448,33
449,29
450,34
451,25
452,25
453,27
454,24
455,22
456,22
457,19
458,26
459,22
460,14
461,24
462,16
463,15
464,18
465,8
466,15
467,21
468,17
469,10
470,10
471,18
472,10
473,18
474,17
475,10
476,12
477,11
478,17
479,15
480,13
481,10
482,11
483,10
484,9
485,13
486,12
487,11
488,17
489,9
490,8
491,9
492,13
493,2
494,12
495,18
496,20
497,13
498,9
499,13
500,10
501,20
502,7
503,13
504,15
505,10
506,14
507,15
508,16
509,12
510,14
511,12
512,8
513,13
514,10
515,9
516,14
517,6
518,14
519,15
520,9
521,13
522,15
523,14
524,10
525,6
526,8
527,11
528,8
529,5
530,17
531,15
