Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,4
52,15
53,49
54,139
55,248
56,506
57,687
58,813
59,882
60,907
61,862
62,824
63,818
64,826
65,773
66,781
67,765
68,741
69,739
70,721
71,686
72,707
73,725
74,685
75,698
76,674
77,635
78,660
79,691
80,666
81,632
82,644
83,656
84,614
85,612
86,607
87,561
88,564
89,586
90,597
91,550
92,566
93,608
94,604
95,553
96,478
97,526
98,512
99,539
100,549
101,562
102,501
103,450
104,533
105,538
106,519
107,467
108,519
109,495
110,479
111,456
112,497
113,458
114,456
115,453
116,439
117,511
118,488
119,463
120,453
121,503
122,459
123,436
124,439
125,427
126,463
127,470
128,425
129,455
130,427
131,425
132,425
133,409
134,400
135,388
136,431
137,422
138,414
139,420
140,460
141,428
142,420
143,414
144,425
145,378
146,406
147,416
148,407
149,427
150,384
151,398
152,386
153,416
154,384
155,353
156,379
157,336
158,395
159,359
160,370
161,385
162,352
163,360
164,345
165,372
166,357
167,354
168,347
169,374
170,393
171,379
172,363
173,374
174,343
175,356
176,339
177,358
178,345
179,345
180,346
181,318
182,364
183,360
184,347
185,373
186,380
187,335
188,335
189,349
190,338
191,310
192,322
193,333
194,343
195,329
196,315
197,352
198,313
199,337
200,330
201,320
202,324
203,343
204,318
205,320
206,308
207,313
208,317
209,284
210,337
211,330
212,336
213,313
214,279
215,315
216,313
217,308
218,293
219,326
220,297
221,344
222,318
223,295
224,315
225,292
226,299
227,296
228,318
229,284
230,297
231,340
232,271
233,302
234,262
235,288
236,266
237,320
238,316
239,258
240,279
241,315
242,282
243,284
244,260
245,297
246,280
247,302
248,305
249,287
250,275
251,275
252,321
253,297
254,278
255,288
256,244
257,294
258,269
259,288
260,268
261,287
262,283
263,277
264,286
265,246
266,280
267,280
268,296
269,255
270,286
271,276
272,264
273,250
274,251
275,274
276,273
277,274
278,229
279,250
280,252
281,257
282,263
283,273
284,276
285,263
286,245
287,249
288,260
289,288
290,246
291,247
292,238
293,261
294,239
295,266
296,239
297,244
298,278
299,246
300,244
301,245
302,253
303,243
304,273
305,235
306,248
307,227
308,269
309,290
310,239
311,245
312,224
313,278
314,232
315,241
316,255
317,273
318,235
319,224
320,257
321,239
322,255
323,229
324,258
325,244
326,252
327,268
328,255
329,241
330,239
331,244
332,274
333,244
334,223
335,270
336,222
337,248
338,243
339,243
340,236
341,239
342,250
343,235
344,231
345,231
346,223
347,230
348,261
349,212
350,251
351,268
352,250
353,220
354,248
355,252
356,251
357,231
358,210
359,232
360,208
361,202
362,237
363,218
364,238
365,237
366,233
367,224
368,242
369,231
370,230
371,211
372,244
373,236
374,227
375,232
376,235
377,227
378,246
379,214
380,220
381,213
382,215
383,240
384,234
385,226
386,218
387,205
388,212
389,233
390,209
391,222
392,226
393,212
394,223
395,238
396,231
397,242
398,194
399,238
400,215
401,242
402,208
403,222
404,218
405,230
406,241
407,227
408,214
409,210
410,190
411,247
412,218
413,197
414,214
415,209
416,204
417,223
418,223
419,210
420,210
421,227
422,219
423,191
424,226
425,223
426,212
427,233
428,225
429,215
430,208
431,236
432,193
433,210
434,237
435,208
436,211
437,241
438,208
439,222
440,214
441,193
442,223
443,205
444,217
445,202
446,222
447,215
448,215
449,199
450,217
451,245
452,230
453,240
454,232
455,230
456,264
457,261
458,229
459,222
460,223
461,239
462,237
463,270
464,218
465,226
466,212
467,175
468,202
469,193
470,211
471,202
472,209
473,203
474,224
475,227
476,233
477,230
478,216
479,202
480,198
481,219
482,186
483,221
484,216
485,208
486,223
487,220
488,203
489,208
490,232
491,220
492,236
493,225
494,224
495,209
496,217
497,230
498,225
499,201
500,213
501,223
502,215
503,212
504,228
505,199
506,208
507,195
508,232
509,196
510,234
511,225
512,222
513,237
514,220
515,203
516,207
517,219
518,237
519,187
520,258
521,241
522,267
523,251
524,277
525,232
526,227
527,220
528,237
529,246
530,213
531,225
