Theta,Counts
-0.1,21203
-0.098,21240
-0.096,22501
-0.094,23815
-0.092,25492
-0.09,27602
-0.088,29218
-0.086,31737
-0.084,34053
-0.082,37122
-0.08,39510
-0.078,41579
-0.076,45029
-0.074,48210
-0.072,51154
-0.07,55067
-0.068,59331
-0.066,64291
-0.064,69925
-0.062,76621
-0.06,84152
-0.058,91899
-0.056,100771
-0.054,109612
-0.052,120786
-0.05,131321
-0.048,143392
-0.046,155197
-0.044,168208
-0.042,182906
-0.04,194967
-0.038,234330
-0.036,239338
-0.034,252302
-0.032,270962
-0.03,284645
-0.028,294670
-0.026,304537
-0.024,316213
-0.022,321088
-0.02,323955
-0.018,326096
-0.016,329359
-0.014,335118
-0.012,340711
-0.01,347023
-0.008,357846
-0.006,365422
-0.004,377470
-0.002,392061
0.0,404543
0.002,418234
0.004,429033
0.006,438466
0.008,454060
0.01,461028
0.012,465895
0.014,470066
0.016,477105
0.018,470437
0.02,464583
0.022,457078
0.024,447717
0.026,439501
0.028,419727
0.03,405231
0.032,384264
0.034,365565
0.036,342686
0.038,314049
0.04,291471
0.042,270022
0.044,245864
0.046,225253
0.048,201569
0.05,185484
0.052,169842
0.054,154619
0.056,128796
0.058,124894
0.06,115892
0.062,107607
0.064,100229
0.066,94473
0.068,90356
0.07,86412
0.072,83324
0.074,80607
0.076,77045
0.078,72842
0.08,69185
0.082,65570
0.084,61425
0.086,57847
0.088,53832
0.09,50633
0.092,47850
0.094,45056
0.096,43070
0.098,41286
0.1,40370
