Theta,Counts
0.0,1767960
0.005,1707960
0.01, 1553532
0.015,1353210
0.02,924426
0.025,626225
0.03,552641
0.035,495907
0.04,443451
0.045,425004
0.05,428098
0.055,420349
0.06,424132
0.065,429956
0.07,450474
0.075,476557
0.08,491517
0.085,515983
0.09,522818
0.095,529674
0.1,546124
0.105,569178
0.11,589555
0.115,612321
0.12,632744
0.125,651765
0.13,674621
0.135,694421
0.14,715090
0.145,733347
0.15,751023
0.155,757146
0.16,740712
0.165,725681
0.17,744582
0.175,777775
0.18,786968
0.185,787460
0.19,816347
0.195,852055
0.2,864532
0.205,849706
0.21,819128
0.215,788288
0.22,732105
0.225,624673
0.23,467521
0.235,312009
0.24,194684
0.245,127029
0.25,102266
0.255,103840
0.26,109702
0.265,107849
0.27,93195
0.275,71606
0.28,49174
0.285,33265
0.29,26857
0.295,29073
0.3,34842
0.305,40056
0.31,41005
0.315,36902
0.32,29022
0.325,20996
0.33,14511
0.335,11906
0.34,12625
0.345,15312
0.35,18423
0.355,19909
0.36,19230
0.365,16733
0.37,12952
0.375,9345
0.38,6647
0.385,6264
0.39,6935
0.395,8655
0.4,10353
0.405,10807
0.41,10192
0.415,8961
0.42,6826
0.425,5039
0.43,3773
0.435,3518
0.44,4112
0.445,4941
0.45,5831
0.455,6249
0.46,5987
0.465,5145
0.47,3972
0.475,2864
0.48,2284
0.485,2078
0.49,2365
0.495,2788
0.5,3447
0.505,3681
0.51,3547
0.515,3159
0.52,2558
0.525,1982
0.53,1496
0.535,1237
0.54,1388
0.545,1732
0.55,1996
0.555,2331
0.56,2277
0.565,2172
0.57,1786
0.575,1340
0.58,1021
0.585,834
0.59,850
0.595,1038
0.6,1201
0.605,1404
0.61,1420
0.615,1378
0.62,1256
0.625,1030
0.63,742
0.635,561
0.64,518
0.645,639
0.65,724
0.655,891
0.66,1033
0.665,1031
0.67,942
0.675,751
0.68,561
0.685,430
0.69,399
0.695,370
0.7,478
0.705,553
0.71,712
0.715,661
0.72,694
0.725,594
0.73,466
0.735,337
0.74,292
0.745,257
0.75,335
0.755,385
0.76,414
0.765,444
0.77,482
0.775,441
0.78,365
0.785,306
0.79,224
0.795,180
0.8,216
0.805,227
0.81,270
0.815,295
0.82,321
0.825,340
0.83,289
0.835,223
0.84,176
0.845,147
0.85,139
0.855,147
0.86,184
0.865,243
0.87,222
0.875,218
0.88,202
0.885,210
0.89,142
0.895,136
0.9,102
0.905,100
0.91,121
0.915,132
0.92,149
0.925,169
0.93,153
0.935,136
0.94,126
0.945,96
0.95,82
0.955,89
0.96,73
0.965,89
0.97,104
0.975,109
0.98,133
0.985,126
0.99,121
0.995,83
1.0,74
1.005,45
1.01,59
1.015,61
1.02,74
1.025,66
1.03,95
1.035,89
1.04,80
1.045,74
1.05,54
1.055,43
1.06,44
1.065,34
1.07,43
1.075,65
1.08,85
1.085,70
1.09,91
1.095,53
1.1,50
1.105,37
1.11,27
1.115,31
1.12,23
1.125,34
1.13,35
1.135,44
1.14,47
1.145,45
1.15,27
1.155,41
1.16,21
1.165,33
1.17,21
1.175,18
1.18,25
1.185,33
1.19,37
1.195,34
1.2,34
1.205,30
1.21,25
1.215,18
1.22,18
1.225,14
1.23,21
1.235,28
1.24,23
1.245,23
1.25,22
1.255,23
1.26,24
1.265,13
1.27,18
1.275,8
1.28,10
1.285,20
1.29,16
1.295,21
1.3,20
1.305,12
1.31,20
1.315,17
1.32,10
1.325,9
1.33,15
1.335,8
1.34,13
1.345,12
1.35,12
1.355,15
1.36,11
1.365,9
1.37,11
1.375,13
1.38,17
1.385,14
1.39,11
1.395,10
1.4,12
1.405,6
1.41,14
1.415,10
1.42,11
1.425,3
1.43,11
1.435,2
1.44,3
1.445,11
1.45,6
1.455,12
1.46,13
1.465,9
1.47,4
1.475,9
1.48,4
1.485,9
1.49,7
1.495,12
1.5,7
1.505,7
1.51,3
1.515,2
1.52,8
1.525,9
1.53,2
1.535,5
1.54,2
1.545,5
1.55,8
1.555,5
1.56,7
1.565,5
1.57,4
1.575,3
1.58,5
1.585,3
1.59,6
1.595,3
1.6,0
1.605,4
1.61,3
1.615,4
1.62,2
1.625,7
1.63,2
1.635,2
1.64,4
1.645,2
1.65,1
1.655,3
1.66,5
1.665,2
1.67,7
1.675,3
1.68,2
1.685,2
1.69,1
1.695,5
1.7,2
1.705,2
1.71,0
1.715,1
1.72,4
1.725,3
1.73,4
1.735,1
1.74,2
1.745,1
1.75,3
1.755,1
1.76,2
1.765,0
1.77,3
1.775,0
1.78,0
1.785,1
1.79,1
1.795,1
1.8,0
1.805,3
1.81,4
1.815,3
1.82,3
1.825,1
1.83,0
1.835,0
1.84,2
1.845,3
1.85,2
1.855,0
1.86,1
1.865,1
1.87,3
1.875,0
1.88,0
1.885,0
1.89,0
1.895,1
1.9,2
1.905,2
1.91,0
1.915,4
1.92,0
1.925,0
1.93,1
1.935,1
1.94,0
1.945,1
1.95,2
1.955,0
1.96,1
1.965,2
1.97,2
1.975,1
1.98,4
1.985,1
1.99,1
1.995,0
2.0,0
2.005,0
2.01,1
2.015,0
2.02,0
2.025,0
2.03,3
2.035,1
2.04,1
2.045,0
2.05,1
2.055,2
2.06,0
2.065,2
2.07,0
2.075,0
2.08,0
2.085,1
2.09,1
2.095,1
2.1,0
2.105,1
2.11,1
2.115,0
2.12,1
2.125,0
2.13,0
2.135,0
2.14,0
2.145,0
2.15,1
2.155,0
2.16,0
2.165,2
2.17,1
2.175,1
2.18,0
2.185,0
2.19,1
2.195,1
2.2,0
2.205,0
2.21,1
2.215,0
2.22,0
