Theta,Counts
0.0,152956
0.005,122714
0.01,100096
0.015,80400
0.02,79578
0.025,77402
0.03,69852
0.035,69228
0.04,47439
0.045,29520
0.05,26696
0.055,26756
0.06,28679
0.065,30588
0.07,28539
0.075,27859
0.08,28916
0.085,26872
0.09,23121
0.095,20914
0.1,20894
0.105,20550
0.11,18685
0.115,15906
0.12,12698
0.125,10789
0.13,9757
0.135,8797
0.14,8026
0.145,7166
0.15,6296
0.155,5727
0.16,5302
0.165,4959
0.17,4670
0.175,4354
0.18,4247
0.185,3857
0.19,3514
0.195,3072
0.2,2715
0.205,2507
0.21,2059
0.215,1828
0.22,1533
0.225,1257
0.23,1037
0.235,894
0.24,763
0.245,539
0.25,461
0.255,393
0.26,332
0.265,324
0.27,257
0.275,266
0.28,239
0.285,193
0.29,175
0.295,205
0.3,162
0.305,150
0.31,135
0.315,128
0.32,140
0.325,128
0.33,133
0.335,98
0.34,110
0.345,83
0.35,71
0.355,86
0.36,81
0.365,79
0.37,72
0.375,67
0.38,61
0.385,57
0.39,53
0.395,67
0.4,58
0.405,58
0.41,50
0.415,44
0.42,44
0.425,46
0.43,44
0.435,45
0.44,55
0.445,42
0.45,31
0.455,43
0.46,32
0.465,45
0.47,32
0.475,33
0.48,27
0.485,33
0.49,34
0.495,27
0.5,32
0.505,21
0.51,28
0.515,25
0.52,18
0.525,25
0.53,19
0.535,22
0.54,16
0.545,27
0.55,16
0.555,13
0.56,20
0.565,25
0.57,24
0.575,15
0.58,14
0.585,13
0.59,17
0.595,20
0.6,18
0.605,14
0.61,7
0.615,14
0.62,16
0.625,21
0.63,18
0.635,19
0.64,15
0.645,9
0.65,23
0.655,21
0.66,15
0.665,14
0.67,14
0.675,17
0.68,8
0.685,10
0.69,11
0.695,10
0.7,14
0.705,6
0.71,3
0.715,6
0.72,5
0.725,11
0.73,10
0.735,10
0.74,13
0.745,16
0.75,10
0.755,14
0.76,8
0.765,10
0.77,8
0.775,9
0.78,13
0.785,8
0.79,9
0.795,7
0.8,6
0.805,8
0.81,10
0.815,5
0.82,3
0.825,4
0.83,7
0.835,6
0.84,4
0.845,6
0.85,10
0.855,7
0.86,7
0.865,6
0.87,3
0.875,6
0.88,2
0.885,7
0.89,5
0.895,4
0.9,10
0.905,7
0.91,4
0.915,4
0.92,5
0.925,7
0.93,3
0.935,5
0.94,7
0.945,7
0.95,5
0.955,6
0.96,3
0.965,6
0.97,3
0.975,1
0.98,6
0.985,2
0.99,4
0.995,4
1.0,2
1.005,3
1.01,4
1.015,2
1.02,1
1.025,2
1.03,0
1.035,1
1.04,3
1.045,3
1.05,0
1.055,3
1.06,2
1.065,1
1.07,3
1.075,6
1.08,2
1.085,3
1.09,3
1.095,3
1.1,1
1.105,1
1.11,2
1.115,2
1.12,0
1.125,2
1.13,1
1.135,2
1.14,1
1.145,1
1.15,0
1.155,2
1.16,1
1.165,1
1.17,0
1.175,2
1.18,4
1.185,1
1.19,1
1.195,1
1.2,0
1.205,2
1.21,2
1.215,0
1.22,0
1.225,3
1.23,2
1.235,2
1.24,1
1.245,3
1.25,2
1.255,0
1.26,1
1.265,2
1.27,2
1.275,0
1.28,3
1.285,0
1.29,1
1.295,0
1.3,0
1.305,0
1.31,0
1.315,4
1.32,1
1.325,1
1.33,1
1.335,2
1.34,2
1.345,3
1.35,1
1.355,1
1.36,1
1.365,2
1.37,0
1.375,0
1.38,1
1.385,0
1.39,0
1.395,1
1.4,0
1.405,1
1.41,0
1.415,0
1.42,1
1.425,0
1.43,2
1.435,1
1.44,0
1.445,0
1.45,0
1.455,2
1.46,0
1.465,3
1.47,0
1.475,1
1.48,1
1.485,0
1.49,0
1.495,0
1.5,0
1.505,0
1.51,0
1.515,3
1.52,0
1.525,2
1.53,1
1.535,0
1.54,1
1.545,1
1.55,0
1.555,0
1.56,0
1.565,0
1.57,0
1.575,0
1.58,1
1.585,0
1.59,0
1.595,1
1.6,0
1.605,1
1.61,0
1.615,0
1.62,0
1.625,0
1.63,0
1.635,0
