Theta,Counts
-1.0,0
-0.96,0
-0.92,1
-0.88,0
-0.84,1
-0.8,1
-0.76,2
-0.72,5
-0.68,2
-0.64,15
-0.6,18
-0.56,49
-0.52,87
-0.48,129
-0.44,403
-0.4,6450
-0.36,22826
-0.32,47220
-0.28,71494
-0.24,93375
-0.2,114158
-0.16,134487
-0.12,153788
-0.08,173075
-0.04,192570
0.0,233034
0.04,194459
0.08,171975
0.12,155167
0.16,127190
0.2,107688
0.24,84705
0.28,60825
0.32,34887
0.36,14652
0.4,2624
0.44,196
0.48,105
0.52,66
0.56,46
0.6,40
0.64,26
0.68,13
0.72,3
0.76,3
0.8,1
0.84,2
0.88,0
0.92,2
0.96,1
1.0,0
