Theta,Counts
0.2,636
0.205,687
0.21,944
0.215,1280
0.22,1977
0.225,4054
0.23,8640
0.235,12563
0.24,15438
0.245,18533
0.25,20212
0.255,19863
0.26,14316
0.265,8861
0.27,6511
0.275,4234
0.28,2395
0.285,1738
0.29,1227
0.295,808
0.3,612
0.305,482
0.31,438
0.315,328
0.32,282
0.325,226
0.33,186
0.335,179
0.34,135
0.345,131
0.35,125
0.355,122
0.36,92
0.365,85
0.37,67
0.375,69
0.38,65
0.385,50
0.39,50
0.395,40
0.4,35
0.405,17
0.41,26
0.415,24
0.42,25
0.425,22
0.43,10
0.435,13
0.44,8
0.445,7
0.45,5
0.455,7
0.46,1
0.465,1
0.47,2
0.475,1
0.48,1
0.485,3
0.49,0
0.495,0
0.5,0
