Theta,Counts
-20.0,467064
-19.0,472420
-18.0,470240
-17.0,468731
-16.0,471433
-15.0,469979
-14.0,471962
-13.0,469315
-12.0,469868
-11.0,400862
-10.0,260787
-9.0,260076
-8.0,255660
-7.0,255352
-6.0,251299
-5.0,251275
-4.0,241922
-3.0,245461
-2.0,245406
-1.0,233358
0.0,240113
1.0,238185
2.0,234504
3.0,233729
4.0,232805
5.0,229542
6.0,227962
7.0,224455
8.0,219067
9.0,219715
10.0,423179
11.0,471606
12.0,473194
13.0,473178
14.0,471203
15.0,471512
16.0,471535
17.0,473368
18.0,468312
19.0,473953
20.0,470801
