Theta,Counts
-1.0,236984
-0.96,237419
-0.92,236779
-0.88,234306
-0.84,236487
-0.8,234970
-0.76,236202
-0.72,235981
-0.68,236724
-0.64,238359
-0.6,237119
-0.56,236265
-0.52,236313
-0.48,238311
-0.44,236676
-0.4,233737
-0.36,236526
-0.32,236850
-0.28,237569
-0.24,235065
-0.2,236534
-0.16,235594
-0.12,237063
-0.08,238943
-0.04,239702
0.0,238185
0.04,239433
0.08,238493
0.12,240650
0.16,241155
0.2,187119
0.24,117702
0.28,48888
0.32,488
0.36,8
0.4,1
0.44,7
0.48,10
0.52,28
0.56,55
0.6,145
0.64,306
0.68,638
0.72,1175
0.76,2260
0.8,3556
0.84,5789
0.88,32215
0.92,38240
0.96,37601
1.0,25161
