Theta,Counts
-0.5,233761
-0.48,235381
-0.46,232529
-0.44,235317
-0.42,235570
-0.4,232797
-0.38,234772
-0.36,235025
-0.34,235183
-0.32,233627
-0.3,234211
-0.28,234235
-0.26,233279
-0.24,233121
-0.22,235207
-0.2,234646
-0.18,233240
-0.16,231897
-0.14,233951
-0.12,233058
-0.1,233698
-0.08,233690
-0.06,232307
-0.04,233982
-0.02,235562
0.0,237174
0.02,237893
0.04,236052
0.06,236747
0.08,238114
0.1,236400
0.12,237719
0.14,239504
0.16,237956
0.18,218103
0.2,184821
0.22,152510
0.24,114503
0.26,80517
0.28,47676
0.3,19773
0.32,1012
0.34,59
0.36,20
0.38,1
0.4,2
0.42,3
0.44,6
0.46,4
0.48,9
0.5,16
