second,Volt,Volt.1
-0.00449865,-5.050251358,-2.46482417
-0.00449365,-5.065326735,-2.41206035
-0.00448865,-5.125628244,-2.41206035
-0.00448365,-5.065326735,-2.170854315
-0.00447865,-5.118090556,-2.344221153
-0.00447365,-5.185929753,-2.404522662
-0.00446865,-5.185929753,-2.223618135
-0.00446365,-5.065326735,-2.170854315
-0.00445865,-5.185929753,-2.291457333
-0.00445365,-5.065326735,-2.283919644
-0.00444865,-5.118090556,-2.103015118
-0.00444365,-5.185929753,-2.170854315
-0.00443865,-5.065326735,-1.989949789
-0.00443365,-5.178392064,-2.050251298
-0.00442865,-5.246231262,-1.9824121
-0.00442365,-5.065326735,-2.050251298
-0.00441865,-5.065326735,-1.9824121
-0.00441365,-5.178392064,-1.922110592
-0.00440865,-5.170854376,-1.9824121
-0.00440365,-5.178392064,-1.922110592
-0.00439865,-5.125628244,-1.809045263
-0.00439365,-5.065326735,-1.809045263
-0.00438865,-5.170854376,-1.809045263
-0.00438365,-5.065326735,-1.809045263
-0.00437865,-5.118090556,-1.869346771
-0.00437365,-5.065326735,-1.809045263
-0.00436865,-5.185929753,-1.567839228
-0.00436365,-5.185929753,-1.809045263
-0.00435865,-5.185929753,-1.628140736
-0.00435365,-5.065326735,-1.567839228
-0.00434865,-5.065326735,-1.567839228
-0.00434365,-5.185929753,-1.567839228
-0.00433865,-5.193467441,-1.628140736
-0.00433365,-5.065326735,-1.560301539
-0.00432865,-5.125628244,-1.44723621
-0.00432365,-5.178392064,-1.326633193
-0.00431865,-5.125628244,-1.258793995
-0.00431365,-5.291457393,-1.206030175
-0.00430865,-5.246231262,-1.326633193
-0.00430365,-5.298995082,-1.44723621
-0.00429865,-5.193467441,-1.138190978
-0.00429365,-5.185929753,-1.206030175
-0.00428865,-5.125628244,-1.266331684
-0.00428365,-5.185929753,-1.311557815
-0.00427865,-5.238693573,-1.213567864
-0.00427365,-5.065326735,-1.206030175
-0.00426865,-5.185929753,-1.07035178
-0.00426365,-5.185929753,-1.198492486
-0.00425865,-5.30653277,-1.01758796
-0.00425365,-5.178392064,-1.092964846
-0.00424865,-5.118090556,-1.025125649
-0.00424365,-5.185929753,-1.085427158
-0.00423865,-5.118090556,-1.07035178
-0.00423365,-5.185929753,-1.077889469
-0.00422865,-5.065326735,-0.949748763
-0.00422365,-5.185929753,-0.723618105
-0.00421865,-5.193467441,-0.904522631
-0.00421365,-5.178392064,-0.844221123
-0.00420865,-5.185929753,-0.844221123
-0.00420365,-5.065326735,-0.716080416
-0.00419865,-5.125628244,-0.783919614
-0.00419365,-5.065326735,-0.603015088
-0.00418865,-5.185929753,-0.663316596
-0.00418365,-5.065326735,-0.489949759
-0.00417865,-5.125628244,-0.655778908
-0.00417365,-5.185929753,-0.716080416
-0.00416865,-5.125628244,-0.603015088
-0.00416365,-5.185929753,-0.48241207
-0.00415865,-5.125628244,-0.53517589
-0.00415365,-5.065326735,-0.361809053
-0.00414865,-5.125628244,-0.48241207
-0.00414365,-5.178392064,-0.48241207
