second,Volt
-0.00050265,-18.94907083
-0.00050165,-21.61439753
-0.00050065,-23.12997545
-0.00049965,-19.10585475
-0.00049865,-17.27670898
-0.00049765,-16.85861851
-0.00049665,-17.0937944
-0.00049565,-17.27670898
-0.00049465,-16.85861851
-0.00049365,-16.44052805
-0.00049265,-16.67570394
-0.00049165,-16.67570394
-0.00049065,-15.91791497
-0.00048965,-16.51892001
-0.00048865,-16.17922151
-0.00048765,-16.02243759
-0.00048665,-16.02243759
-0.00048565,-16.02243759
-0.00048465,-16.02243759
-0.00048365,-16.02243759
-0.00048265,-14.92495012
-0.00048165,-15.18625666
-0.00048065,-15.08173405
-0.00047965,-15.18625666
-0.00047865,-14.92495012
-0.00047765,-14.7681662
-0.00047665,-14.50685966
-0.00047565,-14.16716116
-0.00047465,-13.93198527
-0.00047365,-13.7490707
-0.00047265,-13.51389481
-0.00047165,-13.51389481
-0.00047065,-13.33098023
-0.00046965,-13.33098023
-0.00046865,-12.91288977
-0.00046765,-12.49479931
-0.00046665,-12.67771389
-0.00046565,-12.41640735
-0.00046465,-11.84153296
-0.00046365,-11.84153296
-0.00046265,-11.65861838
-0.00046165,-11.58022642
-0.00046065,-11.24052792
-0.00045965,-11.4234425
-0.00045865,-10.58726157
-0.00045765,-10.7440455
-0.00045665,-10.82243746
-0.00045565,-10.58726157
-0.00045465,-10.16917111
-0.00045365,-9.98625653
-0.00045265,-9.90786457
-0.00045165,-9.98625653
-0.00045065,-9.48977411
-0.00044965,-9.48977411
-0.00044865,-9.48977411
-0.00044765,-8.91489972
-0.00044665,-8.81037711
-0.00044565,-8.91489972
-0.00044465,-8.49680926
-0.00044365,-7.81741226
-0.00044265,-8.49680926
-0.00044165,-8.0787188
-0.00044065,-7.81741226
-0.00043965,-7.39932179
-0.00043865,-7.39932179
-0.00043765,-7.24253787
-0.00043665,-7.24253787
-0.00043565,-6.98123133
-0.00043465,-6.98123133
-0.00043365,-6.71992479
-0.00043265,-6.64153283
-0.00043165,-6.56314087
-0.00043065,-6.40635695
-0.00042965,-5.72695994
-0.00042865,-5.80535191
-0.00042765,-5.57017602
-0.00042665,-5.30886948
-0.00042565,-5.15208556
-0.00042465,-5.57017602
-0.00042365,-4.89077902
-0.00042265,-4.96917098
-0.00042165,-5.15208556
-0.00042065,-4.47268856
-0.00041965,-4.55108052
-0.00041865,-3.89781417
-0.00041765,-4.31590463
-0.00041665,-3.63650763
-0.00041565,-3.71489959
-0.00041465,-3.89781417
-0.00041365,-3.55811567
-0.00041265,-3.29680913
-0.00041165,-3.29680913
-0.00041065,-2.8003267
-0.00040965,-3.06163324
-0.00040865,-2.30384428
-0.00040765,-2.38223624
-0.00040665,-2.22545232
-0.00040565,-2.22545232
-0.00040465,-1.80736186
-0.00040365,-2.22545232
-0.00040265,-1.80736186
-0.00040165,-1.38927139
-0.00040065,-1.54605532
-0.00039965,-1.46766336
-0.00039865,-0.97118093
-0.00039765,-1.04957289
-0.00039665,-0.55309047
-0.00039565,-0.55309047
-0.00039465,-0.70987439
-0.00039365,-0.29178393
-0.00039265,-0.21339197
-0.00039165,-0.29178393
-0.00039065,-0.13500001
-0.00038965,0.28309046
-0.00038865,0.43987438
-0.00038765,0.28309046
-0.00038665,0.85796484
-0.00038565,0.70118092
-0.00038465,0.70118092
-0.00038365,1.27605531
-0.00038265,1.27605531
-0.00038165,1.27605531
-0.00038065,1.53736185
-0.00037965,1.53736185
-0.00037865,2.11223623
-0.00037765,2.19062819
-0.00037665,2.11223623
-0.00037565,2.37354277
-0.00037465,2.60871866
-0.00037365,2.53032669
-0.00037265,2.79163323
-0.00037165,3.02680912
-0.00037065,3.36650762
-0.00036965,3.44489958
-0.00036865,3.36650762
-0.00036765,3.36650762
-0.00036665,3.78459808
-0.00036565,3.36650762
-0.00036465,4.04590462
-0.00036365,4.04590462
-0.00036265,4.46399508
-0.00036165,4.28108051
-0.00036065,4.88208555
-0.00035965,4.62077901
-0.00035865,4.62077901
-0.00035765,5.03886947
-0.00035665,4.88208555
-0.00035565,5.30017601
-0.00035465,5.71826647
-0.00035365,5.53535189
-0.00035265,5.71826647
-0.00035165,5.71826647
-0.00035065,6.37153282
-0.00034965,6.13635693
-0.00034865,6.37153282
-0.00034765,6.5544474
-0.00034665,6.37153282
-0.00034565,6.37153282
-0.00034465,6.71123132
-0.00034365,7.20771375
-0.00034265,7.39062832
-0.00034165,7.12932178
-0.00034065,7.12932178
-0.00033965,7.20771375
-0.00033865,7.62580421
-0.00033765,7.54741225
-0.00033665,8.04389467
-0.00033565,8.04389467
-0.00033465,8.38359317
-0.00033365,8.64489971
-0.00033265,8.64489971
-0.00033165,8.5403771
-0.00033065,8.80168363
-0.00032965,9.2197741
-0.00032865,9.48108064
-0.00032765,9.48108064
-0.00032665,9.48108064
-0.00032565,9.48108064
-0.00032465,10.05595502
-0.00032365,10.31726156
-0.00032265,9.8991711
-0.00032165,10.31726156
-0.00032065,10.31726156
-0.00031965,10.55243745
-0.00031865,10.73535202
-0.00031765,10.73535202
-0.00031665,10.73535202
-0.00031565,11.15344249
-0.00031465,11.38861837
-0.00031365,11.15344249
-0.00031265,11.38861837
-0.00031165,11.80670884
-0.00031065,11.80670884
-0.00030965,11.98962341
-0.00030865,12.40771388
-0.00030765,11.98962341
-0.00030665,12.14640734
-0.00030565,12.64288976
-0.00030465,12.82580434
-0.00030365,12.82580434
-0.00030265,13.06098022
-0.00030165,13.06098022
-0.00030065,13.47907069
-0.00029965,13.2438948
-0.00029865,13.47907069
-0.00029765,13.81876919
-0.00029665,13.81876919
-0.00029565,14.08007573
-0.00029465,14.31525161
-0.00029365,14.49816619
-0.00029265,14.49816619
-0.00029165,14.65495011
